name,Bangladesh,India,Nepal,Pakistan,Sri Lanka,South Asia (share of world),World
Agricultural irrigated land (% of total agricultural land),52.61853448,36.32947752,29.73824527,51.84216385,NA,,
Agricultural land (% of land area),69.97003918,60.63520999,28.74782002,47.06309672,43.69319088,,
"Annual freshwater withdrawals, total (% of internal resources)",34.16190476,52.62793914,4.791624622,333.6363636,24.52651515,,
"GDP per capita, PPP (current international $)",3332.803445,6088.64983,2458.132729,5041.715264,11738.87635,,
"Malnutrition prevalence, weight for age (% of children under 5)",32.59999847,43.5,29.10000038,31.60000038,26.29999924,,
"Population, total",160.995642,1311.050527,28.5137,188.924874,20.966,,
Poverty gap at national poverty line (%),6.5,4,5.4,5.83,1.2,,
Prevalence of undernourishment (% of population),16.4,15.2,7.8,22,22,,
Rural population (% of total population),65.723,67.253,81.385,61.242,81.644,,
Water Use for Agriculture (km^3),31.5,558.4,9.32,162.7,12,31%,2516.99
Irrigated Area (M ha),3.44,54.99,1.05,16.01,0.77,32%,235
